Title                                   PopularityNormal    Flag       Genres                                                      
 Oldboy                                  42.347    15        0         {Drama,Thriller,Mystery,Action}                             
 Anchorman 2: The Legend Continues       30.169    0         0         {Comedy}                                                    
 Beautiful Creatures                     25.861    0         0         {Fantasy,Drama,Romance}                                     
 Stoker                                  23.017    0         0         {Drama,Horror,Thriller}                                     
 Batman: The Dark Knight Returns, Part 2 39.477    1405      13        {"Science Fiction",Action,Animation,Mystery}                
 The Hangover Part III                   79.453    8242      36        {Comedy}                                                    
 The Lone Ranger                         35.224    236       1         {Action,Adventure,Western}                                  
 Dark Skies                              27.461    0         0         {"Science Fiction",Thriller,Horror}                         
 R.I.P.D.                                49.123    574       3         {Fantasy,Action,Comedy}                                     
 Free Birds                              30.627    0         0         {Animation,Comedy,Family}                                   
 The House of Magic                      26.893    0         0         {Family,Fantasy,Animation,Adventure}                        
 Tarzan                                  22.481    0         0         {Animation,Action,Adventure,Family}                         
 Barbie in the Pink Shoes                25.015    0         0         {Animation,Family}                                          
 The Wolf of Wall Street                 117.864   9667      75        {Crime,Drama,Comedy}                                        
 The Family                              24.128    0         0         {Crime,Comedy,Action}                                       
 Assault on Wall Street                  17.517    0         0         {Drama,Thriller,Action}                                     
 Monster High: 13 Wishes                 19.335    1454      11        {Family,Fantasy,Animation}                                  
 Now You See Me                          65.12     4813      25        {Thriller,Crime}                                            
 Insidious: Chapter 2                    63.001    4792      19        {Horror,Thriller}                                           
 American Hustle                         30.891    707       4         {Drama,Crime}                                               
 Pacific Rim                             76.847    13181     75        {Action,"Science Fiction",Adventure}                        
 Mama                                    43.919    4699      35        {Horror}                                                    
 Ninja: Shadow of a Tear                 22.094    0         0         {Action,Crime,Thriller}                                     
 Horns                                   19.189    0         0         {Drama,Fantasy,Thriller}                                    
 Romeo & Juliet                          18.393    0         0         {Romance,Drama}                                             
 Turbo                                   44.259    287       0         {Animation,Family}                                          
 Oblivion                                50.407    7326      79        {Action,"Science Fiction",Adventure,Mystery}                
 The Haunting of Helena                  18.765    42        0         {Horror,Thriller}                                           
 Stuck in Love                           25.884    708       6         {Drama,Comedy}                                              
 The Purge                               57.524    10113     87        {"Science Fiction",Horror,Thriller}                         
 Coherence                               35.824    9206      42        {Thriller,"Science Fiction"}                                
 No Half Measures: Creating the Final Season of Breaking Bad18.477    0         0         {Documentary}                                               
 Riddick                                 40.687    7368      37        {"Science Fiction",Action,Thriller}                         
 Homefront                               50.116    436       2         {Action,Thriller}                                           
